Test Case ID,Category,Difficulty,Question,Ground Truth Cypher,Generated Cypher,Syntactic Correct,Execution Success,Semantic Accurate,Manual Override,Final Correctness,Tokens Used,Execution Time (s),Execution Error,Context Used
17,filtering,medium,What place has the most people?,"match (p:Person)-[:LIVES_IN]-(l:Location)
return l.name, count(p)
order by count(p) desc
limit 1;",,False,False,False,,False,0,0.0,"Context retrieval failed: {code: Neo.ClientError.Statement.SyntaxError} {message: A pattern expression should only be used in order to test the existence of a pattern. It can no longer be used inside the function size(), an alternative is to replace size() with COUNT {}. (line 2, column 14 (offset: 32))
""WITH l, size((l)<-[:LIVES_IN]-()) AS population""
              ^}",False
18,filtering,medium,In what educational institution do most people study?,"match (p:Person)-[r:STUDIED_AT]->(ei:EducationalInstitution)
where r.endYear is null
with ei, count(distinct p) as numberOfStudents
order by numberOfStudents desc
limit 1
return ei.name, numberOfStudents;","MATCH (p:Person)-[s:STUDIED_AT]->(e:EducationalInstitution)
WITH e, COUNT(DISTINCT p) AS studentCount
RETURN e.name AS institution, studentCount
ORDER BY studentCount DESC
LIMIT 1",True,True,False,,False,4002,5.05,,True
19,filtering,medium,What was the population increase from the last 100 years in New Zealand?,,,False,False,False,,False,0,0.0,"Context retrieval failed: {code: Neo.ClientError.Statement.SyntaxError} {message: All sub queries in an UNION must have the same return column names (line 9, column 1 (offset: 209))
""UNION""
 ^}",False
20,aggregation,medium,What is the average age in New Zealand?,"match (loc:Location)-[:LIVES_IN]-(p:Person)
where loc.country = 'New Zealand'
return avg(duration.between(date(p.birthDate), date()).years);
","MATCH (l:Location {country: ""New Zealand""})<-[:LIVES_IN]-(p:Person)
WHERE toLower(l.country) = ""new zealand""
WITH l, p, date().year - toInteger(substring(p.birthDate, 0, 4)) AS age
RETURN l.name AS location, AVG(age) AS averageAge",True,True,False,,False,830,6.13,,True
21,aggregation,medium,Is there a correlation between studying abroad and staying there permanently? (assume it's correlated if it's true for more than half of the population),"match (p:Person)-[:STUDIED_AT]-(uni:EducationalInstitution),
      (p)-[:LIVES_IN]-(live:Location)
where uni.country <> p.birthPlace
with count(case when uni.country = live.country then 1 end) as stayed,
     count(case when uni.country <> live.country then 1 end) as left
return case when toFloat(stayed)/(stayed+left) > 0.5 then 'correlated' else 'uncorrelated' end;",,False,False,False,,False,0,0.0,"Context retrieval failed: {code: Neo.ClientError.Statement.SyntaxError} {message: Variable `s` not defined (line 10, column 11 (offset: 357))
""RETURN p, s, e, l, loc, w, c""
           ^}",False
22,aggregation,medium,Is there a correlation between studying abroad and returning home? (assume it's correlated if it's true for more than half of the population),"match (p:Person)-[:STUDIED_AT]-(uni:EducationalInstitution),
      (p)-[:LIVES_IN]-(liveCountry:Location)
where uni.country <> p.birthPlace
with count(case when liveCountry = p.birthPlace then 1 end) as returned,
     count(case when liveCountry <> p.birthPlace then 1 end) as didnt
return case when toFloat(returned)/(returned+didnt) > 0.5 then 'correlated' else 'uncorrelated' end;","MATCH (p:Person)-[:STUDIED_AT]->(e:EducationalInstitution)
WHERE p.nationality <> e.country
WITH p, e
MATCH (p)-[l:LIVES_IN]->(loc:Location)
WHERE l.since > e.foundedYear AND loc.country = p.nationality
WITH count(DISTINCT p) AS studiedAbroadAndReturned
MATCH (p:Person)
WITH studiedAbroadAndReturned, count(p) AS totalPopulation
RETURN 
  CASE 
    WHEN toFloat(studiedAbroadAndReturned) / totalPopulation > 0.5 
    THEN 'There is a correlation between studying abroad and returning home' 
    ELSE 'There is no correlation between studying abroad and returning home' 
  END AS result",True,True,False,True,True,876,8.29,,True
23,aggregation,medium,"Is there a correlation between studying abroad and changing countries again? (assume it's correlated if it's true for more than half of the population)
","match (p:Person)-[:STUDIED_AT]-(uni:EducationalInstitution),
      (p)-[:LIVES_IN]-(live:Location)
where uni.country <> p.birthPlace
with count(case when live.country = uni.country then 1 end) as stayed,
     count(case when live.country <> uni.country then 1 end) as changed
return case when toFloat(changed)/(changed+stayed) > 0.5 then 'correlated' else 'uncorrelated' end;","MATCH (p:Person)-[:STUDIED_AT]->(e:EducationalInstitution)-[:LOCATED_IN]->(studyCountry:Location)
WITH p, studyCountry
MATCH (p)-[:LIVED_IN]->(l:Location)
WHERE l.country <> studyCountry.country
WITH p, studyCountry, collect(DISTINCT l.country) AS livedCountries
WHERE size(livedCountries) > 0
WITH count(p) AS totalStudiedAbroad, 
     sum(CASE WHEN size(livedCountries) > 1 THEN 1 ELSE 0 END) AS movedAgain
RETURN 
    CASE 
        WHEN totalStudiedAbroad > 0 THEN 
            CASE 
                WHEN toFloat(movedAgain) / totalStudiedAbroad > 0.5 
                THEN 'There is a correlation between studying abroad and changing countries again.' 
                ELSE 'There is no correlation between studying abroad and changing countries again.' 
            END 
        ELSE 'Insufficient data to determine correlation.' 
    END AS result",True,True,False,,False,1826,9.81,,True
24,aggregation,medium,Is there a correlation between the email of the person being Yahoo! and that person not working in the tech field? (assume it's correlated if it's true for more than half of the population),"match (p:Person)-[:HAD_POSITION]-(job:JobTitle)
where toLower(p.email) ends with '@yahoo.com'
with count(case when job.category = 'Technology' then 1 end) as tech,
     count(case when job.category <> 'Techonology' then 1 end) as notTech
return case when tech+notTech = 0 then 'no yahoo mails' when toFloat(tech)/(tech+notTech) > 0.5 then 'correlated' else 'uncorrelated' end;
",,False,False,False,,False,0,0.0,"Context retrieval failed: {code: Neo.ClientError.Statement.SyntaxError} {message: A pattern expression should only be used in order to test the existence of a pattern. It can no longer be used inside the function size(), an alternative is to replace size() with COUNT {}. (line 3, column 14 (offset: 74))
""WITH p, size((p)-[:WORKED_AT]->(:Company {industry: 'Technology'})) = 0 AS notInTech""
              ^}",False
25,aggregation,medium,"On average, how many sisters do people called Charles have?","match (charles:Person)
where charles.firstName = 'Charles'
optional match (charles)-[:IS_SIBLING]->(sister:Person)
where sister.gender = 'Female'
with charles, count(sister) as sisters
return avg(sisters)
","MATCH (p:Person)
WHERE toLower(p.firstName) = 'charles'
OPTIONAL MATCH (p)-[:IS_SIBLING]->(sibling:Person)
WHERE sibling.gender = 'Female'
WITH p, count(sibling) AS sisterCount
RETURN avg(sisterCount) AS averageSisterCount",True,True,False,True,True,799,6.67,,True
26,filtering,medium,How many Christophers are there that have or have had a friend named Jessica,"match (christopher:Person)-[:IS_FRIEND]->(jessica:Person)
where christopher.firstName = 'Christopher'
and jessica.firstName = 'Jessica'
return count(distinct christopher);","MATCH (c:Person)-[:IS_FRIEND]-(j:Person)
WHERE toLower(c.firstName) = 'christopher' AND toLower(j.firstName) = 'jessica'
RETURN count(DISTINCT c) AS christophersWithJessicaFriend",True,True,False,True,True,892,4.84,,True
27,filtering,medium,How many people work in the same field they studied in?,"match (f:FieldOfStudy)-[:STUDIED]-(p:Person)-[a:HAD_POSITION]-(job:JobTitle)
where f.category = job.category
and a.endYear is null
return count(distinct(p));","MATCH (p:Person)-[:STUDIED]->(f:FieldOfStudy)
WITH p, f
MATCH (p)-[:WORKED_AT]->(c:Company)
WITH p, f, c
MATCH (p)-[:HAD_POSITION]->(j:JobTitle)
WHERE toLower(j.category) = toLower(f.category)
RETURN COUNT(DISTINCT p) AS peopleWorkingInStudiedField",True,True,False,,False,770,5.51,,True
28,aggregation,medium,"What percentage of people use their name as their email?
","match (p:Person)
with count(p) as totalPeople,
     count(case when p.email is not null and toLower(p.email) contains toLower(p.firstName) then 1 end) as nameEmail
return toFloat(nameEmail) / totalPeople * 100;
","MATCH (p:Person)
WITH p, toLower(p.firstName + '.' + p.lastName) AS nameEmail, toLower(p.email) AS lowercaseEmail
WITH COUNT(p) AS totalPeople, SUM(CASE WHEN nameEmail + '@example.com' = lowercaseEmail OR nameEmail + '@example.org' OR nameEmail + '@example.net' THEN 1 ELSE 0 END) AS nameAsEmailCount
RETURN toFloat(nameAsEmailCount) / totalPeople * 100 AS percentageUsingNameAsEmail",True,False,False,,False,2111,8.32,"{code: Neo.ClientError.Statement.SyntaxError} {message: Type mismatch: expected Boolean but was String (line 3, column 102 (offset: 215))
""WITH COUNT(p) AS totalPeople, SUM(CASE WHEN nameEmail + '@example.com' = lowercaseEmail OR nameEmail + '@example.org' OR nameEmail + '@example.net' THEN 1 ELSE 0 END) AS nameAsEmailCount""
                                                                                                      ^}",True
29,filtering,medium,In which country are the most amount of people named Jordan?,"match (p:Person)-[:LIVES_IN]-(loc:Location)
where p.firstName = 'Jordan'
return loc.country, count(p)
order by count(p)
limit 1;","MATCH (p:Person)-[:LIVES_IN]->(l:Location)
WHERE toLower(p.firstName) = 'jordan'
WITH l.country AS country, COUNT(p) AS count
ORDER BY count DESC
LIMIT 1
RETURN country, count",True,True,False,True,True,753,6.68,,True
30,filtering,medium,What positions has Connie's sister worked as?,"match (friend:Person)-[:IS_SIBLING]->(sister:Person)-[worked:HAD_POSITION]-(job:JobTitle)
where toLower(friend.firstName) = 'connie'
return distinct job.title;","MATCH (p:Person)-[:IS_SIBLING]->(sister:Person)
WHERE toLower(p.firstName) = 'connie'
MATCH (sister)-[w:WORKED_AT]->(company:Company)
MATCH (sister)-[h:HAD_POSITION]->(jobTitle:JobTitle)
WHERE h.companyId = company.id AND h.startYear = w.startYear
RETURN DISTINCT jobTitle.title AS Position
ORDER BY Position",True,True,False,True,True,5936,6.77,,True
31,aggregation,medium,How many children on average does a parent have in Grenada?,"match (child:Person)-[:IS_CHILD]->(parent:Person)-[:LIVES_IN]-(loc:Location)
where loc.country = 'Grenada'
with parent, count(child) as children
return avg(children);","MATCH (parent:Person)-[:IS_PARENT]->(child:Person)-[:LIVES_IN]->(:Location {country: 'Grenada'})
WITH parent, COUNT(child) AS childCount
RETURN AVG(childCount) AS averageChildrenPerParent",True,True,False,False,False,756,5.1,,True
32,filtering,medium,How many people have studied in universities located in French Southern Territories and have friends who work in finance?,"match (uni:EducationalInstitution)-[:STUDIED_AT]-(p:Person)-[:IS_FRIEND]-(friend:Person)-[:HAD_POSITION]-(job:JobTitle)
where toLower(uni.country) = 'french southern territories'
and toLower(job.category) = 'finance'
return count(distinct p);",,False,False,False,,False,0,0.0,"Context retrieval failed: {code: Neo.ClientError.Statement.SyntaxError} {message: Variable `u` not defined (line 5, column 24 (offset: 262))
""WITH DISTINCT p, f, c, u, l""
                        ^}",False
33,filtering,medium,How many people have worked in the education industry and is married to someone who lives in Grenada?,"match (job:JobTitle)-[:HAD_POSITION]-(p:Person)-[:IS_WIFE|IS_HUSBAND]->(spouse:Person)-[:LIVES_IN]-(loc:Location)
where loc.country = 'Grenada'
and job.category = 'Education'
return count(distinct p);
",,False,False,False,,False,0,0.0,"Context retrieval failed: {code: Neo.ClientError.Statement.SyntaxError} {message: Variable `c` not defined (line 4, column 17 (offset: 202))
""WITH p, spouse, c, l""
                 ^}",False
34,aggregation,hard,How correlated are education and career? (assume it's correlated if it's true for more than half of the population),"match (job:JobTitle)-[:HAD_POSITION]-(p:Person)
optional match (p)-[:STUDIED_AT]-(uni:EducationalInstitution)
with count(case when uni.id is not null then 1 end) as studied,
     count(case when uni.id is null then 1 end) as didnt
return case when toFloat(studied)/(studied+didnt) > 0.5 then 'correlated' else 'uncorrelated' end;","MATCH (p:Person)-[:STUDIED_AT]->(e:EducationalInstitution)
MATCH (p)-[:WORKED_AT]->(c:Company)
MATCH (p)-[:HAD_POSITION]->(j:JobTitle)
WITH p, e, c, j,
     toLower(e.type) AS educationType,
     toLower(j.category) AS jobCategory
WITH COUNT(DISTINCT p) AS totalPeople,
     SUM(CASE WHEN educationType = jobCategory THEN 1 ELSE 0 END) AS matchingPeople
RETURN 
    CASE 
        WHEN toFloat(matchingPeople) / toFloat(totalPeople) > 0.5 
        THEN 'Education and career are correlated' 
        ELSE 'Education and career are not correlated' 
    END AS correlation,
    toFloat(matchingPeople) / toFloat(totalPeople) AS correlationRatio",True,True,False,,False,6752,7.91,,True
35,graph_recursion,hard,How are Matthew and Theresa related?,"match (matthew:Person), (theresa:Person), p = shortestPath((matthew)-[*]-(theresa))
where matthew.firstName = 'Matthew'
and theresa.firstName = 'Theresa'
return p;",,False,False,False,,False,0,6.34,Error in test case execution: Object of type Path is not JSON serializable,True
36,graph_recursion,hard,Is it possible to get all people from just one person's friends' friends (and so on)? One of the person's name is Matthew.,"match (n:Person)
with count(n) as allPeople
match (p:Person)
where p.firstName = 'Matthew'
with allPeople, p
match (p)-[:IS_FRIEND*0..]-(friend:Person)
with allPeople, count(distinct friend) as friends
return case when friends = allPeople then 'Yes' else 'No' end;
",,False,False,False,,False,0,6.36,"Error in test case execution: Claude API Error: Error code: 529 - {'type': 'error', 'error': {'type': 'overloaded_error', 'message': 'Overloaded'}}",True
37,graph_recursion,hard,"On average, how many hops does it take from people living in New Zealand to people working in Johnson-Rogers, Hooper PLC, Patterson, Camacho and White, Rogers-Hobbs, or Ruiz Ltd
","match (kutaiseli:Person)-[:LIVES_IN]-(kutaisi:Location), (maangeli:Person)-[:WORKED_AT]-(maang:Company), path = shortestPath((kutaiseli)-[*]-(maangeli))
where toLower(kutaisi.country) = 'new zealand'
and maang.name in ['Johnson-Rogers', 'Hooper PLC', 'Patterson, Camacho and White', 'Rogers-Hobbs', 'Ruiz Ltd']
and kutaiseli <> maangeli
return avg(length(path));",,False,False,False,,False,0,0.0,"Context retrieval failed: {code: Neo.DatabaseError.Statement.ExecutionFailed} {message: The shortest path algorithm does not work when the start and end nodes are the same. This can happen if you
perform a shortestPath search after a cartesian product that might have the same start and end nodes for some
of the rows passed to shortestPath. If you would rather not experience this exception, and can accept the
possibility of missing results for those rows, disable this in the Neo4j configuration by setting
`dbms.cypher.forbid_shortestpath_common_nodes` to false. If you cannot accept missing results, and really want the
shortestPath between two common nodes, then re-write the query using a standard Cypher variable length pattern
expression followed by ordering by path length and limiting to one result.}",False
38,aggregation,hard,"Based on country, how many different jobs did a person have on average?","match (p:Person)-[:LIVES_IN]->(loc:Location)
where loc.country is not null
optional match (p)-[:HAD_POSITION]->(jt:JobTitle)
with p, loc.country as countryName, count(distinct jt.title) as numberOfDistinctJobs
return countryName, avg(numberOfDistinctJobs) as averageDistinctJobsPerPersonInCountry
order by averageDistinctJobsPerPersonInCountry desc;","MATCH (p:Person)-[:LIVES_IN]->(l:Location)
WITH p, l.country AS country, size((p)-[:WORKED_AT]->()) AS jobCount
RETURN country, round(avg(jobCount), 2) AS avgJobs
ORDER BY avgJobs DESC",True,False,False,,False,1209,6.26,"{code: Neo.ClientError.Statement.SyntaxError} {message: A pattern expression should only be used in order to test the existence of a pattern. It can no longer be used inside the function size(), an alternative is to replace size() with COUNT {}. (line 2, column 36 (offset: 78))
""WITH p, l.country AS country, size((p)-[:WORKED_AT]->()) AS jobCount""
                                    ^}",True
39,aggregation,medium,Find all men who married spouses older than their sisters,"match (sister:Person)<-[:IS_SIBLING]-(man:Person)-[:IS_WIFE|IS_HUSBAND]->(spouse:Person)
where toLower(sister.gender) = 'female'
and toLower(man.gender) = 'male'
and spouse.birthDate < sister.birthDate
return man.firstName","MATCH (m:Person {gender: 'Male'})-[:IS_HUSBAND]->(w:Person)
WHERE m.birthDate > w.birthDate
WITH m, w
MATCH (m)-[:IS_SIBLING]->(s:Person {gender: 'Female'})
WHERE m.birthDate < s.birthDate
RETURN DISTINCT m.firstName, m.lastName, w.firstName AS spouse_firstName, w.lastName AS spouse_lastName, s.firstName AS sister_firstName, s.lastName AS sister_lastName",True,True,False,,False,797,6.73,,True
40,filtering,easy,Find locations such that more men than women live there.,"match (p:Person)-[:LIVES_IN]-(l:Location)
with l.name as location, sum(case when toLower(p.gender) = 'male' then 1 else 0 end) as males, sum(case when toLower(p.gender) = 'female' then 1 else 0 end) as females
where males>females
return location","MATCH (l:Location)<-[:LIVES_IN]-(p:Person)
WITH l, COUNT(CASE WHEN p.gender = 'Male' THEN 1 END) AS maleCount,
     COUNT(CASE WHEN p.gender = 'Female' THEN 1 END) AS femaleCount
WHERE maleCount > femaleCount
RETURN l.name AS LocationName, l.country AS Country, maleCount, femaleCount
ORDER BY maleCount DESC",True,True,False,True,True,3721,6.66,,True
41,pattern_matching,medium,"Find locations where more men than women live, and display the population of men and women in such places.","match (p:Person)-[:LIVES_IN]-(l:Location)
with l.name as location, sum(case when toLower(p.gender) = 'male' then 1 else 0 end) as males, sum(case when toLower(p.gender) = 'female' then 1 else 0 end) as females
where males>females
return location, males, females;",,False,False,False,,False,0,0.0,"Context retrieval failed: {code: Neo.ClientError.Statement.SyntaxError} {message: A pattern expression should only be used in order to test the existence of a pattern. It can no longer be used inside the function size(), an alternative is to replace size() with COUNT {}. (line 2, column 14 (offset: 32))
""WITH l, size((l)<-[:LIVES_IN]-(:Person {gender: 'Male'})) AS maleCount,""
              ^}",False
42,filtering,medium,Return top 3 education institutions with most foreign students.,"match (p:Person)-[lived:LIVED_IN]-(l:Location)
order by p, lived.startYear
with p, collect(l.country)[0] as firstCountry
match (p)-[:STUDIED_AT]-(e:EducationalInstitution)
where firstCountry <> e.country
with e.name as institution, count(*) as foreignStudents
order by foreignStudents desc
limit 3
return institution, foreignStudents;","MATCH (p:Person)-[s:STUDIED_AT]->(ei:EducationalInstitution)
WHERE toLower(p.nationality) <> toLower(ei.country)
WITH ei, COUNT(DISTINCT p) AS foreignStudentCount
ORDER BY foreignStudentCount DESC
LIMIT 3
RETURN ei.name AS institutionName, ei.country AS country, foreignStudentCount
ORDER BY foreignStudentCount DESC",True,True,False,True,True,1671,6.1,,True
43,filtering,medium,Return education institutions with most foreign students,"match (p:Person)-[lived:LIVED_IN]-(l:Location)
order by p, lived.startYear
with p, collect(l.country)[0] as firstCountry
match (p)-[:STUDIED_AT]-(e:EducationalInstitution)
where firstCountry <> e.country
with e.name as institution, count(*) as foreignStudents
order by foreignStudents desc
return institution;",,False,False,False,,False,0,0.0,"Context retrieval failed: {code: Neo.ClientError.Statement.SyntaxError} {message: Variable `s` not defined (line 12, column 36 (offset: 390))
""RETURN ei, foreignStudentCount, p, s""
                                    ^}",False
44,pattern_matching,easy,Who's older than their husband?,"match (husband:Person)-[:IS_HUSBAND]->(spouse:Person)
where husband.birthDate > spouse.birthDate
return spouse.firstName","MATCH (w:Person)-[:IS_WIFE]->(h:Person)
WHERE date(w.birthDate) < date(h.birthDate)
RETURN w.firstName + ' ' + w.lastName AS Wife, h.firstName + ' ' + h.lastName AS Husband, w.birthDate AS WifeBirthDate, h.birthDate AS HusbandBirthDate
ORDER BY WifeBirthDate",True,True,False,True,True,2375,5.57,,True
45,filtering,medium,Find the oldest married person in each city.,"match (l:Location)
where toLower(l.type) = 'city'
optional match (l)-[:LIVES_IN]-(p:Person)-[:IS_HUSBAND|IS_WIFE]->(spouse:Person)
with l.name as city, p
order by city, p.birthDate
with city, collect(p)[0] as oldestMarriedPerson
return city, oldestMarriedPerson.firstName","MATCH (p:Person)-[:IS_HUSBAND|IS_WIFE]->(spouse:Person)
MATCH (p)-[:LIVES_IN]->(city:Location)
WITH city, p, spouse, p.birthDate AS birthDate
ORDER BY birthDate
WITH city, COLLECT({person: p, spouse: spouse, birthDate: birthDate})[0] AS oldestCouple
RETURN city.name AS City, oldestCouple.person.firstName + ' ' + oldestCouple.person.lastName AS OldestMarriedPerson, oldestCouple.birthDate AS BirthDate, oldestCouple.spouse.firstName + ' ' + oldestCouple.spouse.lastName AS Spouse
ORDER BY City",True,True,False,True,True,1623,6.92,,True
46,pattern_matching,hard,Family trees where everyone works.,"match (root)-[:IS_HUSBAND|IS_WIFE|IS_PARENT|IS_CHILD|IS_SIBLING*0..50]-(member:Person)
with root, collect(distinct member) as familyMembers
where all(member in familyMembers where exists {
        (member)-[:WORKED_AT]->(c:Company)
        })
and size(familyMembers) > 1
return root.firstName + ' ' + root.lastName as familyRoot,
       [member in familyMembers | member.firstName + ' ' + member.lastName] as employedFamilyMembers
       order by size(familyMembers) desc;",,False,False,False,,False,0,7.77,Error in test case execution: Object of type Node is not JSON serializable,True
